llm_provider=openai
llm_model=deepseek-chat
llm_endpoint=https://api.deepseek.com

## scifact run 1
- raw_topk | scifact_scifact-raw-episode-101_claim_101_keyword | stub=scifact-raw-task-101: Supported: Moderate exercise improves sleep quality in older adults. | llm=Supported | stub_aqs=0.8667 | llm_aqs=0.5000
- workspace | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is gate 9. | stub_aqs=1.0000 | llm_aqs=0.7834

## locomo run 8
- raw_topk | locomo_locomo-raw-episode-passport_passport_keyword | stub=locomo-raw-task-passport: The passport was stored in the red travel pouch. | llm=The traveler stored the passport in the red travel pouch before leaving for the station. | stub_aqs=0.9000 | llm_aqs=0.8333
- workspace | locomo_locomo-raw-episode-passport_passport_keyword | stub=locomo-raw-task-passport: The passport was stored in the red travel pouch. | llm=The traveler stored the passport in the red travel pouch before leaving for the station. | stub_aqs=0.9000 | llm_aqs=0.8333
- raw_topk | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is 9. | stub_aqs=1.0000 | llm_aqs=0.6333
- workspace | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is gate 9. | stub_aqs=1.0000 | llm_aqs=0.7834

## locomo run 9
- raw_topk | locomo_locomo-raw-episode-passport_passport_keyword | stub=locomo-raw-task-passport: The passport was stored in the red travel pouch. | llm=in the red travel pouch | stub_aqs=0.9000 | llm_aqs=0.8333
- workspace | locomo_locomo-raw-episode-passport_passport_keyword | stub=locomo-raw-task-passport: The passport was stored in the red travel pouch. | llm=in the red travel pouch | stub_aqs=0.9000 | llm_aqs=0.8333
- raw_topk | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is 9. | stub_aqs=1.0000 | llm_aqs=0.6333
- workspace | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is gate 9. | stub_aqs=1.0000 | llm_aqs=0.7834

## locomo run 10
- raw_topk | locomo_locomo-raw-episode-passport_passport_keyword | stub=locomo-raw-task-passport: The passport was stored in the red travel pouch. | llm=The traveler stored the passport in the red travel pouch before leaving for the station. | stub_aqs=0.9000 | llm_aqs=0.8333
- workspace | locomo_locomo-raw-episode-passport_passport_keyword | stub=locomo-raw-task-passport: The passport was stored in the red travel pouch. | llm=The traveler stored the passport in the red travel pouch before leaving for the station. | stub_aqs=0.9000 | llm_aqs=0.8333
- raw_topk | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is 9. | stub_aqs=1.0000 | llm_aqs=0.6333
- workspace | locomo_locomo-raw-episode-departure_departure_keyword | stub=locomo-raw-task-departure: The train leaves at 7:10 PM from gate 9 where Mara will meet the traveler. | llm=The departure time is 7:10 PM and the gate is 9. | stub_aqs=1.0000 | llm_aqs=0.6333
